stimulus_index_0based,semantic_20class_1based,semantic_4class_0based,optical_flow_score,fast_label,dominant_color_group,object_count,number_class_0based,face,human
52,2,0,0.15406399965286255,0,Warm Vibrant,7,2,0,0
53,4,0,0.28573739528656006,0,Neutral Light,250,2,1,1
54,16,3,0.08804628252983093,0,Earth & Dark,1,0,0,0
55,12,2,0.0842813178896904,0,Neutral Light,2,1,0,1
56,15,2,6.860288619995117,1,Green Nature,1,0,0,0
57,12,2,0.1924702376127243,0,Green Nature,2,1,0,0
58,17,3,0.2194121778011322,0,Cool Tones,12,2,1,1
59,9,1,0.12892428040504456,0,Earth & Dark,1,0,0,0
60,17,3,0.3222149610519409,0,Green Nature,1,0,1,1
61,1,0,0.5338134765625,0,Cool Tones,1,0,1,1
62,5,0,0.6232101917266846,0,Earth & Dark,1,0,0,0
63,7,1,1.513116478919983,1,Earth & Dark,30,2,1,1
64,20,3,3.731152057647705,1,Cool Tones,1,0,0,0
65,19,3,1.9821962118148804,1,Green Nature,15,2,1,1
66,9,1,0.2855477035045624,0,Warm Vibrant,6,2,0,0
67,5,0,0.4986053705215454,0,Earth & Dark,1,0,0,0
68,5,0,4.053304672241211,1,Cool Tones,1,0,0,1
69,19,3,1.527093768119812,1,Green Nature,15,2,0,0
70,11,2,0.06879421323537827,0,Green Nature,1,0,0,1
71,15,2,1.2867090702056885,1,Neutral Light,2,1,1,1
72,19,3,10.511453628540039,1,Green Nature,1,0,0,0
73,11,2,0.0032500673551112413,0,Neutral Light,1,0,0,0
74,20,3,10.550468444824219,1,Cool Tones,5,2,0,0
75,15,2,0.4030543267726898,0,Cool Tones,1,0,0,0
76,16,3,0.034133587032556534,0,Warm Vibrant,1,0,0,0
77,16,3,0.47856444120407104,0,Neutral Light,10,2,0,0
78,17,3,0.7582494616508484,1,Green Nature,1,0,1,1
79,1,0,0.4802403450012207,0,Warm Vibrant,1,0,0,0
80,18,3,4.197359561920166,1,Green Nature,1,0,1,1
81,13,2,5.821658611297607,1,Green Nature,50,2,0,0
82,16,3,0.9787504076957703,1,Warm Vibrant,1,0,1,1
83,1,0,0.6612190008163452,1,Cool Tones,5,2,0,0
84,2,0,0.21080948412418365,0,Earth & Dark,1,0,1,1
85,15,2,0.4678182303905487,0,Earth & Dark,31,2,0,1
86,18,3,2.2354178428649902,1,Warm Vibrant,30,2,0,0
87,20,3,5.3089704513549805,1,Warm Vibrant,10,2,0,0
88,7,1,0.6502856612205505,1,Green Nature,3,1,1,1
89,20,3,1.993549108505249,1,Cool Tones,1,0,1,1
90,18,3,2.921855926513672,1,Green Nature,1,0,1,1
91,14,2,1.6764978170394897,1,Cool Tones,10,2,0,1
92,18,3,6.694958209991455,1,Warm Vibrant,20,2,0,0
93,1,0,2.0197908878326416,1,Earth & Dark,1,0,1,1
94,11,2,0.49358418583869934,0,Warm Vibrant,2,1,0,0
95,2,0,0.5653774738311768,0,Neutral Light,45,2,0,0
96,14,2,2.413417339324951,1,Warm Vibrant,30,2,0,0
97,9,1,0.05610867217183113,0,Cool Tones,20,2,1,1
98,4,0,0.3970836400985718,0,Warm Vibrant,4,1,0,0
99,2,0,0.6732192039489746,1,Warm Vibrant,5,2,0,0
100,1,0,0.29208898544311523,0,Neutral Light,2,1,1,1
101,3,0,0.12628503143787384,0,Cool Tones,8,2,0,0
102,1,0,0.6456823945045471,1,Warm Vibrant,1,0,0,0
103,9,1,0.6311179995536804,0,Neutral Light,48,2,0,0
104,8,1,0.22882473468780518,0,Warm Vibrant,55,2,0,0
105,8,1,0.46631160378456116,0,Cool Tones,1,0,0,0
106,1,0,2.0605809688568115,1,Neutral Light,4,1,1,1
107,1,0,2.8131673336029053,1,Warm Vibrant,4,1,0,0
108,7,1,0.04911304637789726,0,Neutral Light,3,1,1,1
109,17,3,0.3362039029598236,0,Green Nature,3,1,1,1
110,6,1,0.13693206012248993,0,Green Nature,1,0,1,1
111,8,1,0.1334727555513382,0,Neutral Light,1,0,0,1
112,9,1,0.3416273891925812,0,Warm Vibrant,12,2,1,1
113,13,2,0.5522489547729492,0,Green Nature,50,2,0,0
114,1,0,0.753904402256012,1,Warm Vibrant,1,0,0,0
115,13,2,3.1474697589874268,1,Cool Tones,8,2,0,0
116,20,3,5.166557788848877,1,Green Nature,40,2,1,1
117,11,2,0.10703802853822708,0,Neutral Light,1,0,0,0
118,12,2,1.782217264175415,1,Neutral Light,1,0,1,1
119,5,0,2.09519100189209,1,Warm Vibrant,12,2,1,1
120,17,3,0.5449304580688477,0,Cool Tones,1,0,0,1
121,10,1,0.32080313563346863,0,Neutral Light,3,1,0,1
122,3,0,9.655130386352539,1,Earth & Dark,1,0,1,1
123,13,2,0.2895076274871826,0,Neutral Light,1,0,1,1
124,6,1,0.32462745904922485,0,Earth & Dark,1,0,1,1
125,10,1,0.8038292527198792,1,Cool Tones,10,2,0,0
126,8,1,0.2519327700138092,0,Earth & Dark,2,1,1,1
127,6,1,0.3413950800895691,0,Green Nature,2,1,0,1
128,7,1,4.858678817749023,1,Earth & Dark,2,1,0,0
129,6,1,0.8918531537055969,1,Green Nature,15,2,0,0
130,14,2,0.2941400110721588,0,Warm Vibrant,0,0,0,0
131,20,3,2.4872376918792725,1,Earth & Dark,15,2,1,1
132,18,3,1.4859920740127563,1,Green Nature,6,2,1,1
133,12,2,0.1841394603252411,0,Cool Tones,3,1,0,1
134,8,1,0.30889955163002014,0,Earth & Dark,2,1,0,0
135,4,0,0.026515129953622818,0,Earth & Dark,1,0,0,0
136,13,2,5.606511116027832,1,Cool Tones,1,0,0,0
137,17,3,1.3814023733139038,1,Neutral Light,1,0,0,1
138,5,0,19.42870330810547,1,Earth & Dark,2,1,0,0
139,12,2,7.483980178833008,1,Earth & Dark,2,1,0,1
140,4,0,6.092874526977539,1,Neutral Light,1,0,0,1
141,10,1,0.19405420124530792,0,Cool Tones,4,1,0,0
142,16,3,0.15031684935092926,0,Earth & Dark,2,1,1,1
143,19,3,2.2116172313690186,1,Neutral Light,16,2,0,0
144,11,2,0.561206042766571,0,Warm Vibrant,1,0,0,0
145,17,3,0.7979322075843811,1,Earth & Dark,1,0,0,0
146,19,3,1.3919870853424072,1,Warm Vibrant,1,0,1,1
147,12,2,1.9482126235961914,1,Warm Vibrant,9,2,0,0
148,8,1,0.3577679693698883,0,Green Nature,86,2,1,1
149,12,2,0.2649012804031372,0,Cool Tones,1,0,0,1
150,18,3,2.7203469276428223,1,Neutral Light,1,0,0,1
151,1,0,0.17502528429031372,0,Warm Vibrant,5,2,1,1
152,7,1,0.03995692357420921,0,Neutral Light,1,0,1,1
153,8,1,0.1869414746761322,0,Cool Tones,1,0,0,1
154,11,2,1.1589244604110718,1,Cool Tones,5,2,0,1
155,19,3,2.8592982292175293,1,Green Nature,4,1,1,1
156,13,2,0.7472796440124512,1,Neutral Light,18,2,1,1
157,16,3,0.07317893952131271,0,Warm Vibrant,20,2,0,0
158,5,0,6.913972854614258,1,Neutral Light,1,0,0,0
159,11,2,0.3474920988082886,0,Neutral Light,1,0,0,0
160,2,0,0.5204601287841797,0,Earth & Dark,2,1,1,1
161,3,0,0.43954309821128845,0,Warm Vibrant,5,2,1,1
162,9,1,1.2494441270828247,1,Cool Tones,3,1,0,0
163,4,0,8.556123733520508,1,Warm Vibrant,2,1,0,0
164,11,2,0.11700255423784256,0,Green Nature,1,0,0,0
165,3,0,1.0311506986618042,1,Neutral Light,1,0,0,1
166,3,0,0.8227494359016418,1,Earth & Dark,1,0,1,1
167,14,2,2.4504034519195557,1,Green Nature,1,0,1,1
168,2,0,2.438947916030884,1,Cool Tones,1,0,0,0
169,5,0,0.08454679697751999,0,Warm Vibrant,25,2,0,0
170,7,1,0.5687676072120667,0,Neutral Light,3,1,1,1
171,2,0,0.6612868905067444,1,Cool Tones,20,2,0,0
172,9,1,0.5606816411018372,0,Neutral Light,1,0,1,1
173,15,2,2.0564496517181396,1,Neutral Light,2,1,0,1
174,14,2,0.5749306082725525,0,Warm Vibrant,1,0,0,0
175,20,3,1.4792122840881348,1,Green Nature,2,1,1,1
176,17,3,1.5745583772659302,1,Neutral Light,1,0,0,1
177,5,0,7.412976264953613,1,Earth & Dark,1,0,0,1
178,7,1,5.89056921005249,1,Earth & Dark,3,1,0,1
179,6,1,0.43290024995803833,0,Green Nature,1,0,0,0
180,3,0,1.2337721586227417,1,Green Nature,1,0,1,1
181,15,2,1.074259638786316,1,Neutral Light,12,2,0,0
182,9,1,0.6619778275489807,1,Earth & Dark,60,2,1,1
183,14,2,0.5229418873786926,0,Green Nature,1,0,0,0
184,2,0,0.9450914859771729,1,Green Nature,1,0,1,1
185,2,0,15.758605003356934,1,Cool Tones,3,1,1,1
186,17,3,0.5088362097740173,0,Neutral Light,1,0,1,1
187,2,0,0.09556951373815536,0,Cool Tones,7,2,1,1
188,13,2,1.150755763053894,1,Green Nature,1,0,1,1
189,4,0,0.13532447814941406,0,Neutral Light,2,1,0,0
190,3,0,0.435953289270401,0,Earth & Dark,1,0,1,1
191,15,2,4.489464282989502,1,Green Nature,1,0,1,1
192,2,0,0.8721444010734558,1,Earth & Dark,7,2,0,1
193,14,2,0.04213834926486015,0,Earth & Dark,20,2,1,1
194,10,1,0.5274983644485474,0,Warm Vibrant,6,2,0,0
195,2,0,0.25264593958854675,0,Warm Vibrant,6,2,1,1
196,9,1,0.6455732583999634,1,Cool Tones,1,0,1,1
197,18,3,0.23231568932533264,0,Neutral Light,1,0,0,0
198,6,1,1.023577094078064,1,Green Nature,15,2,1,1
199,20,3,1.6753188371658325,1,Neutral Light,1,0,0,0
200,5,0,1.359418272972107,1,Earth & Dark,5,2,0,0
201,17,3,2.308455467224121,1,Green Nature,65,2,1,1
202,16,3,0.2267342209815979,0,Earth & Dark,3,1,0,0
203,13,2,0.5455632209777832,0,Neutral Light,1,0,0,0
204,7,1,1.4507274627685547,1,Neutral Light,8,2,0,0
205,16,3,0.09847505390644073,0,Warm Vibrant,7,2,0,0
206,13,2,0.639792799949646,0,Green Nature,5,2,0,0
207,12,2,0.9168183207511902,1,Cool Tones,2,1,1,1
208,9,1,0.06225718930363655,0,Cool Tones,4,1,0,0
209,10,1,0.731320321559906,1,Cool Tones,28,2,0,0
210,4,0,0.8328666687011719,1,Earth & Dark,4,1,0,0
211,9,1,0.028529837727546692,0,Green Nature,1,0,1,1
212,20,3,2.135664939880371,1,Earth & Dark,8,2,0,1
213,14,2,0.5678767561912537,0,Neutral Light,10,2,1,1
214,2,0,0.47824159264564514,0,Cool Tones,1,0,1,1
215,5,0,1.0874966382980347,1,Cool Tones,1,0,0,0
216,16,3,0.04338240996003151,0,Earth & Dark,8,2,0,0
217,16,3,0.5369223356246948,0,Earth & Dark,5,2,1,1
218,15,2,0.5788258910179138,0,Earth & Dark,100,2,1,1
219,1,0,0.7956730723381042,1,Earth & Dark,2,1,0,0
220,5,0,0.06774573773145676,0,Earth & Dark,4,1,0,0
221,20,3,3.8428921699523926,1,Neutral Light,60,2,1,1
222,12,2,1.766420841217041,1,Warm Vibrant,1,0,0,0
223,11,2,0.12696720659732819,0,Neutral Light,1,0,0,0
224,15,2,0.8092483878135681,1,Earth & Dark,1,0,0,1
225,15,2,0.4454585015773773,0,Cool Tones,53,2,1,1
226,10,1,0.8331697583198547,1,Neutral Light,5,2,1,1
227,15,2,3.808037042617798,1,Warm Vibrant,10,2,0,0
228,1,0,0.7933942675590515,1,Neutral Light,4,1,0,0
229,6,1,0.46253064274787903,0,Neutral Light,1,0,0,0
230,3,0,0.9402233958244324,1,Cool Tones,3,1,1,1
231,16,3,0.11366643011569977,0,Cool Tones,2,1,1,1
232,14,2,0.7101075649261475,1,Neutral Light,4,1,1,1
233,11,2,0.35932016372680664,0,Neutral Light,1,0,0,0
234,10,1,0.4803088307380676,0,Green Nature,2,1,0,0
235,6,1,0.3329624533653259,0,Earth & Dark,60,2,0,1
236,14,2,0.7276087999343872,1,Warm Vibrant,5,2,1,1
237,11,2,0.18575093150138855,0,Cool Tones,1,0,0,0
238,18,3,7.797592639923096,1,Green Nature,1,0,1,1
239,17,3,2.163008689880371,1,Neutral Light,1,0,0,0
240,5,0,0.11312951892614365,0,Cool Tones,3,1,0,1
241,5,0,0.20521101355552673,0,Warm Vibrant,2,1,0,1
242,10,1,1.2710022926330566,1,Cool Tones,1,0,0,0
243,10,1,0.5709300637245178,0,Green Nature,5,2,1,1
244,4,0,0.17358925938606262,0,Earth & Dark,1,0,0,0
245,12,2,0.08570491522550583,0,Warm Vibrant,1,0,0,1
246,1,0,2.7367637157440186,1,Green Nature,1,0,0,0
247,14,2,1.1037873029708862,1,Neutral Light,25,2,0,1
248,8,1,0.03458089008927345,0,Earth & Dark,1,0,1,1
249,3,0,1.5292481184005737,1,Cool Tones,2,1,0,0
